intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",69.72
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",70.53
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",70.53
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",70.4
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",70.4
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",60.82
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",69.01
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",69.16
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",69.16
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",69.24
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",69.24
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",60.61
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",73.92
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",74.73
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",74.73
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",74.3
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",74.3
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",64.82
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",72.37
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",73.17
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",73.17
A,2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",70.94
A,2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",70.94
A,2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",62.51
A,2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",60.83
A,2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",60.58
A,2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",60.75
A,2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",60.88
A,2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",60.88
A,2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",58.78
A,2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",62.18
A,2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",61.93
A,2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",62.1
