intersection_id,tollgate_id,week,time_window,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,avg_travel_time
"A","2","1","2016-10-25 08:00:00,2016-10-25 08:20:00","1010.2000","1015.2000","37.0000","4.3000","19.5000","78.0000","0.0000","681.3"
"A","2","1","2016-10-25 08:20:00,2016-10-25 08:40:00","1010.2000","1015.2000","37.0000","4.3000","19.5000","78.0000","0.0000","128.11"
"A","2","1","2016-10-25 08:40:00,2016-10-25 09:00:00","1010.2000","1015.2000","37.0000","4.3000","19.5000","78.0000","0.0000","176.23"
"A","2","1","2016-10-25 09:00:00,2016-10-25 09:20:00","1011.3000","1016.3000","7.0000","3.8000","18.0000","81.0000","0.0000","749.09"
"A","2","1","2016-10-25 09:20:00,2016-10-25 09:40:00","1011.3000","1016.3000","7.0000","3.8000","18.0000","81.0000","0.0000","37.22"
"A","2","1","2016-10-25 09:40:00,2016-10-25 10:00:00","1011.3000","1016.3000","7.0000","3.8000","18.0000","81.0000","0.0000","184.95"
"A","2","2","2016-10-26 08:00:00,2016-10-26 08:20:00","1007.7000","1012.7000","216.0000","2.1000","28.1000","67.0000","0.0000","614.73"
"A","2","2","2016-10-26 08:20:00,2016-10-26 08:40:00","1007.7000","1012.7000","216.0000","2.1000","28.1000","67.0000","0.0000","118.63"
"A","2","2","2016-10-26 08:40:00,2016-10-26 09:00:00","1007.7000","1012.7000","216.0000","2.1000","28.1000","67.0000","0.0000","63.27"
"A","2","2","2016-10-26 09:00:00,2016-10-26 09:20:00","1010.2000","1015.2000","356.0000","5.6000","21.6000","81.0000","0.0000","516.6"
"A","2","2","2016-10-26 09:20:00,2016-10-26 09:40:00","1010.2000","1015.2000","356.0000","5.6000","21.6000","81.0000","0.0000","42.83"
"A","2","2","2016-10-26 09:40:00,2016-10-26 10:00:00","1010.2000","1015.2000","356.0000","5.6000","21.6000","81.0000","0.0000","459.44"
"A","2","3","2016-10-27 08:00:00,2016-10-27 08:20:00","1010.8000","1015.8000","339.0000","1.8000","19.7000","93.0000","0.0000","56.98"
"A","2","3","2016-10-27 08:20:00,2016-10-27 08:40:00","1010.8000","1015.8000","339.0000","1.8000","19.7000","93.0000","0.0000","566.16"
"A","2","3","2016-10-27 08:40:00,2016-10-27 09:00:00","1010.8000","1015.8000","339.0000","1.8000","19.7000","93.0000","0.0000","125.39"
"A","2","3","2016-10-27 09:00:00,2016-10-27 09:20:00","1010.4000","1015.4000","107.0000","0.5000","20.7000","90.0000","0.0000","777.55"
"A","2","3","2016-10-27 09:20:00,2016-10-27 09:40:00","1010.4000","1015.4000","107.0000","0.5000","20.7000","90.0000","0.0000","205.22"
"A","2","3","2016-10-27 09:40:00,2016-10-27 10:00:00","1010.4000","1015.4000","107.0000","0.5000","20.7000","90.0000","0.0000","164.18"
"A","2","4","2016-10-28 08:00:00,2016-10-28 08:20:00","1016.6000","1021.7000","4.0000","6.0000","16.2000","91.0000","0.1000","466.2"
"A","2","4","2016-10-28 08:20:00,2016-10-28 08:40:00","1016.6000","1021.7000","4.0000","6.0000","16.2000","91.0000","0.1000","765.33"
"A","2","4","2016-10-28 08:40:00,2016-10-28 09:00:00","1016.6000","1021.7000","4.0000","6.0000","16.2000","91.0000","0.1000","700.79"
"A","2","4","2016-10-28 09:00:00,2016-10-28 09:20:00","1018.8000","1023.9000","1.0000","5.9000","15.1000","86.0000","0.0000","416.49"
"A","2","4","2016-10-28 09:20:00,2016-10-28 09:40:00","1018.8000","1023.9000","1.0000","5.9000","15.1000","86.0000","0.0000","248.9"
"A","2","4","2016-10-28 09:40:00,2016-10-28 10:00:00","1018.8000","1023.9000","1.0000","5.9000","15.1000","86.0000","0.0000","673.67"
"A","2","5","2016-10-29 08:00:00,2016-10-29 08:20:00","1024.0000","1029.2000","36.0000","3.2000","14.6000","71.0000","0.0000","574.81"
"A","2","5","2016-10-29 08:20:00,2016-10-29 08:40:00","1024.0000","1029.2000","36.0000","3.2000","14.6000","71.0000","0.0000","621.6"
"A","2","5","2016-10-29 08:40:00,2016-10-29 09:00:00","1024.0000","1029.2000","36.0000","3.2000","14.6000","71.0000","0.0000","638.73"
"A","2","5","2016-10-29 09:00:00,2016-10-29 09:20:00","1024.6000","1029.8000","8.0000","3.4000","13.6000","76.0000","0.0000","640.95"
