intersection_id,tollgate_id,week,time_window,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,avg_travel_time
"B","3","1","2016-10-18 00:00:00,2016-10-18 00:20:00","1015.2000","1020.3000","62.0000","2.1000","20.5000","87.0000","0.0000","64.69"
"B","3","1","2016-10-18 00:40:00,2016-10-18 01:00:00","1015.2000","1020.3000","62.0000","2.1000","20.5000","87.0000","0.0000","75.37"
"B","3","1","2016-10-18 01:40:00,2016-10-18 02:00:00","1015.2000","1020.3000","62.0000","2.1000","20.5000","87.0000","0.0000","70.14"
"B","3","1","2016-10-18 02:00:00,2016-10-18 02:20:00","1015.2000","1020.3000","62.0000","2.1000","20.5000","87.0000","0.0000","96.03"
"B","3","1","2016-10-18 03:40:00,2016-10-18 04:00:00","1014.5000","1019.5000","37.0000","2.5000","23.3000","73.0000","0.0000","76.88"
"B","3","1","2016-10-18 06:00:00,2016-10-18 06:20:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","54.75"
"B","3","1","2016-10-18 06:20:00,2016-10-18 06:40:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","121.02"
"B","3","1","2016-10-18 06:40:00,2016-10-18 07:00:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","94.04"
"B","3","1","2016-10-18 07:00:00,2016-10-18 07:20:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","120.6"
"B","3","1","2016-10-18 07:20:00,2016-10-18 07:40:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","73.4"
"B","3","1","2016-10-18 07:40:00,2016-10-18 08:00:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","89.91"
"B","3","1","2016-10-18 08:00:00,2016-10-18 08:20:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","126.4"
"B","3","1","2016-10-18 08:20:00,2016-10-18 08:40:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","115.52"
"B","3","1","2016-10-18 08:40:00,2016-10-18 09:00:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","98.86"
"B","3","1","2016-10-18 09:00:00,2016-10-18 09:20:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","131.15"
"B","3","1","2016-10-18 09:20:00,2016-10-18 09:40:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","151.95"
"B","3","1","2016-10-18 09:40:00,2016-10-18 10:00:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","117.69"
"B","3","1","2016-10-18 10:00:00,2016-10-18 10:20:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","85.85"
"B","3","1","2016-10-18 10:20:00,2016-10-18 10:40:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","111.97"
"B","3","1","2016-10-18 10:40:00,2016-10-18 11:00:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","120.19"
"B","3","1","2016-10-18 11:00:00,2016-10-18 11:20:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","124.38"
"B","3","1","2016-10-18 11:20:00,2016-10-18 11:40:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","91.1"
"B","3","1","2016-10-18 11:40:00,2016-10-18 12:00:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","100.28"
"B","3","1","2016-10-18 12:00:00,2016-10-18 12:20:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","79.9"
"B","3","1","2016-10-18 12:20:00,2016-10-18 12:40:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","90.97"
"B","3","1","2016-10-18 12:40:00,2016-10-18 13:00:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","103.24"
"B","3","1","2016-10-18 13:00:00,2016-10-18 13:20:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","117.65"
"B","3","1","2016-10-18 13:20:00,2016-10-18 13:40:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","90.83"
"B","3","1","2016-10-18 13:40:00,2016-10-18 14:00:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","99.16"
"B","3","1","2016-10-18 14:00:00,2016-10-18 14:20:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","123.75"
"B","3","1","2016-10-18 14:20:00,2016-10-18 14:40:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","92.07"
"B","3","1","2016-10-18 14:40:00,2016-10-18 15:00:00","1013.8000","1018.8000","106.0000","1.5000","20.5000","94.0000","0.5000","83.17"
"B","3","1","2016-10-18 15:00:00,2016-10-18 15:20:00","1013.7000","1018.7000","90.0000","1.9000","20.1000","95.0000","0.1000","135.06"
"B","3","1","2016-10-18 15:20:00,2016-10-18 15:40:00","1013.7000","1018.7000","90.0000","1.9000","20.1000","95.0000","0.1000","61.22"
"B","3","1","2016-10-18 15:40:00,2016-10-18 16:00:00","1013.7000","1018.7000","90.0000","1.9000","20.1000","95.0000","0.1000","132.87"
