intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",68.1920318604
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",68.1920318604
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",68.1920318604
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",68.3700714111
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",68.3700714111
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",68.3700714111
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",68.3700714111
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",68.3700714111
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",68.3700714111
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",69.5686569214
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",69.5686569214
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",69.5686569214
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",68.1920318604
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",68.1920318604
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",68.1920318604
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",68.1920318604
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",68.1920318604
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",68.1920318604
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",69.5686569214
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",69.5686569214
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",69.5686569214
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",69.390625
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",69.390625
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",69.390625
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",70.3886871338
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",70.3886871338
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",70.3886871338
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",70.3886871338
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",70.3886871338
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",70.3886871338
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",68.1920318604
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",68.1920318604
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",68.1920318604
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",68.1920318604
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",68.1920318604
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",68.1920318604
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",68.1920318604
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",68.1920318604
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",68.1920318604
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",68.1920318604
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",68.1920318604
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",68.1920318604
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",109.9320907593
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",109.9320907593
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",109.9320907593
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",110.1101150513
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",110.1101150513
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",110.1101150513
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",110.1101150513
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",110.1101150513
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",110.1101150513
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",111.3087158203
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",111.3087158203
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",111.3087158203
