intersection_id,tollgate_id,time_window,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,avg_travel_time
"B","3","2016-07-19 00:00:00,2016-07-19 00:20:00","1000.9000","1005.8000","219.0000","3.3000","27.5000","81.0000","0.0000","70.85"
"B","3","2016-07-19 00:20:00,2016-07-19 00:40:00","1000.9000","1005.8000","219.0000","3.3000","27.5000","81.0000","0.0000","148.79"
"B","3","2016-07-19 01:40:00,2016-07-19 02:00:00","1000.9000","1005.8000","219.0000","3.3000","27.5000","81.0000","0.0000","93.72"
"B","3","2016-07-19 02:00:00,2016-07-19 02:20:00","1000.9000","1005.8000","219.0000","3.3000","27.5000","81.0000","0.0000","67.81"
"B","3","2016-07-19 02:40:00,2016-07-19 03:00:00","1000.9000","1005.8000","219.0000","3.3000","27.5000","81.0000","0.0000","167.55"
"B","3","2016-07-19 03:40:00,2016-07-19 04:00:00","1000.5000","1005.3000","212.0000","3.8000","31.7000","65.0000","0.0000","98.49"
"B","3","2016-07-19 04:00:00,2016-07-19 04:20:00","1000.5000","1005.3000","212.0000","3.8000","31.7000","65.0000","0.0000","96.67"
"B","3","2016-07-19 04:20:00,2016-07-19 04:40:00","1000.5000","1005.3000","212.0000","3.8000","31.7000","65.0000","0.0000","53.15"
"B","3","2016-07-19 04:40:00,2016-07-19 05:00:00","1000.5000","1005.3000","212.0000","3.8000","31.7000","65.0000","0.0000","55.25"
"B","3","2016-07-19 05:00:00,2016-07-19 05:20:00","1000.5000","1005.3000","212.0000","3.8000","31.7000","65.0000","0.0000","209.66"
"B","3","2016-07-19 06:00:00,2016-07-19 06:20:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","145.94"
"B","3","2016-07-19 06:20:00,2016-07-19 06:40:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","127.35"
"B","3","2016-07-19 06:40:00,2016-07-19 07:00:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","97.2"
"B","3","2016-07-19 07:00:00,2016-07-19 07:20:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","118.43"
"B","3","2016-07-19 07:20:00,2016-07-19 07:40:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","82.63"
"B","3","2016-07-19 07:40:00,2016-07-19 08:00:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","110.5"
"B","3","2016-07-19 08:00:00,2016-07-19 08:20:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","125.76"
"B","3","2016-07-19 08:20:00,2016-07-19 08:40:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","141.33"
"B","3","2016-07-19 08:40:00,2016-07-19 09:00:00","999.7000","1004.5000","239.0000","1.9000","31.8000","64.0000","0.0000","176.08"
"B","3","2016-07-19 09:00:00,2016-07-19 09:20:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","165.29"
"B","3","2016-07-19 09:20:00,2016-07-19 09:40:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","127.38"
"B","3","2016-07-19 09:40:00,2016-07-19 10:00:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","117.83"
"B","3","2016-07-19 10:00:00,2016-07-19 10:20:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","98.92"
"B","3","2016-07-19 10:20:00,2016-07-19 10:40:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","113.0"
"B","3","2016-07-19 10:40:00,2016-07-19 11:00:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","98.15"
"B","3","2016-07-19 11:00:00,2016-07-19 11:20:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","95.98"
"B","3","2016-07-19 11:20:00,2016-07-19 11:40:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","84.36"
"B","3","2016-07-19 11:40:00,2016-07-19 12:00:00","998.7000","1003.5000","218.0000","2.0000","31.5000","69.0000","0.0000","96.54"
"B","3","2016-07-19 12:00:00,2016-07-19 12:20:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","144.87"
"B","3","2016-07-19 12:20:00,2016-07-19 12:40:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","136.36"
"B","3","2016-07-19 12:40:00,2016-07-19 13:00:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","129.5"
"B","3","2016-07-19 13:00:00,2016-07-19 13:20:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","116.47"
"B","3","2016-07-19 13:20:00,2016-07-19 13:40:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","119.37"
"B","3","2016-07-19 13:40:00,2016-07-19 14:00:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","176.65"
"B","3","2016-07-19 14:00:00,2016-07-19 14:20:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","159.46"
"B","3","2016-07-19 14:20:00,2016-07-19 14:40:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","129.48"
"B","3","2016-07-19 14:40:00,2016-07-19 15:00:00","1000.2000","1005.0000","215.0000","0.7000","30.0000","77.0000","0.0000","120.24"
"B","3","2016-07-19 15:00:00,2016-07-19 15:20:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","115.29"
"B","3","2016-07-19 15:20:00,2016-07-19 15:40:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","129.47"
"B","3","2016-07-19 15:40:00,2016-07-19 16:00:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","120.76"
"B","3","2016-07-19 16:00:00,2016-07-19 16:20:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","116.07"
"B","3","2016-07-19 16:20:00,2016-07-19 16:40:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","152.5"
"B","3","2016-07-19 16:40:00,2016-07-19 17:00:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","101.66"
"B","3","2016-07-19 17:00:00,2016-07-19 17:20:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","139.36"
"B","3","2016-07-19 17:20:00,2016-07-19 17:40:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","103.67"
"B","3","2016-07-19 17:40:00,2016-07-19 18:00:00","1001.0000","1005.8000","202.0000","1.5000","29.0000","80.0000","0.0000","109.3"
"B","3","2016-07-19 18:00:00,2016-07-19 18:20:00","999.6000","1004.4000","198.0000","2.1000","27.7000","88.0000","0.0000","108.3"
"B","3","2016-07-19 18:20:00,2016-07-19 18:40:00","999.6000","1004.4000","198.0000","2.1000","27.7000","88.0000","0.0000","91.94"
"B","3","2016-07-19 18:40:00,2016-07-19 19:00:00","999.6000","1004.4000","198.0000","2.1000","27.7000","88.0000","0.0000","106.92"
"B","3","2016-07-19 19:20:00,2016-07-19 19:40:00","999.6000","1004.4000","198.0000","2.1000","27.7000","88.0000","0.0000","115.99"
"B","3","2016-07-19 19:40:00,2016-07-19 20:00:00","999.6000","1004.4000","198.0000","2.1000","27.7000","88.0000","0.0000","209.49"
"B","3","2016-07-19 20:00:00,2016-07-19 20:20:00","999.6000","1004.4000","198.0000","2.1000","27.7000","88.0000","0.0000","112.25"
"B","3","2016-07-19 20:40:00,2016-07-19 21:00:00","999.6000","1004.4000","198.0000","2.1000","27.7000","88.0000","0.0000","96.82"
"B","3","2016-07-19 21:20:00,2016-07-19 21:40:00","999.0000","1003.8000","208.0000","2.0000","26.5000","93.0000","0.0000","133.02"
"B","3","2016-07-19 21:40:00,2016-07-19 22:00:00","999.0000","1003.8000","208.0000","2.0000","26.5000","93.0000","0.0000","96.96"
"B","3","2016-07-19 22:00:00,2016-07-19 22:20:00","999.0000","1003.8000","208.0000","2.0000","26.5000","93.0000","0.0000","149.31"
"B","3","2016-07-19 22:20:00,2016-07-19 22:40:00","999.0000","1003.8000","208.0000","2.0000","26.5000","93.0000","0.0000","100.55"
"B","3","2016-07-19 23:00:00,2016-07-19 23:20:00","999.0000","1003.8000","208.0000","2.0000","26.5000","93.0000","0.0000","97.07"
"B","3","2016-07-19 23:40:00,2016-07-20 00:00:00","999.0000","1003.8000","208.0000","2.0000","26.5000","93.0000","0.0000","121.11"
"B","3","2016-07-20 01:00:00,2016-07-20 01:20:00","1000.2000","1005.0000","200.0000","2.9000","30.3000","72.0000","0.0000","93.17"
"B","3","2016-07-20 01:40:00,2016-07-20 02:00:00","1000.2000","1005.0000","200.0000","2.9000","30.3000","72.0000","0.0000","33.25"
"B","3","2016-07-20 02:20:00,2016-07-20 02:40:00","1000.2000","1005.0000","200.0000","2.9000","30.3000","72.0000","0.0000","127.48"
"B","3","2016-07-20 02:40:00,2016-07-20 03:00:00","1000.2000","1005.0000","200.0000","2.9000","30.3000","72.0000","0.0000","157.13"
"B","3","2016-07-20 03:00:00,2016-07-20 03:20:00","999.7000","1004.5000","207.0000","5.4000","34.8000","48.0000","0.0000","125.75"
"B","3","2016-07-20 03:20:00,2016-07-20 03:40:00","999.7000","1004.5000","207.0000","5.4000","34.8000","48.0000","0.0000","104.71"
"B","3","2016-07-20 03:40:00,2016-07-20 04:00:00","999.7000","1004.5000","207.0000","5.4000","34.8000","48.0000","0.0000","148.14"
"B","3","2016-07-20 04:00:00,2016-07-20 04:20:00","999.7000","1004.5000","207.0000","5.4000","34.8000","48.0000","0.0000","113.72"
"B","3","2016-07-20 04:20:00,2016-07-20 04:40:00","999.7000","1004.5000","207.0000","5.4000","34.8000","48.0000","0.0000","129.63"
"B","3","2016-07-20 04:40:00,2016-07-20 05:00:00","999.7000","1004.5000","207.0000","5.4000","34.8000","48.0000","0.0000","59.88"
"B","3","2016-07-20 06:00:00,2016-07-20 06:20:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","112.36"
"B","3","2016-07-20 06:20:00,2016-07-20 06:40:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","386.44"
"B","3","2016-07-20 06:40:00,2016-07-20 07:00:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","130.59"
"B","3","2016-07-20 07:00:00,2016-07-20 07:20:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","122.35"
"B","3","2016-07-20 07:20:00,2016-07-20 07:40:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","133.2"
"B","3","2016-07-20 07:40:00,2016-07-20 08:00:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","137.98"
"B","3","2016-07-20 08:00:00,2016-07-20 08:20:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","182.66"
"B","3","2016-07-20 08:20:00,2016-07-20 08:40:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","127.68"
"B","3","2016-07-20 08:40:00,2016-07-20 09:00:00","998.7000","1003.5000","199.0000","4.7000","37.1000","41.0000","0.0000","134.42"
"B","3","2016-07-20 09:00:00,2016-07-20 09:20:00","998.7000","1003.5000","217.0000","3.4000","37.0000","40.0000","0.0000","114.74"
"B","3","2016-07-20 09:20:00,2016-07-20 09:40:00","998.7000","1003.5000","217.0000","3.4000","37.0000","40.0000","0.0000","142.06"
"B","3","2016-07-20 09:40:00,2016-07-20 10:00:00","998.7000","1003.5000","217.0000","3.4000","37.0000","40.0000","0.0000","170.11"
"B","3","2016-07-20 10:20:00,2016-07-20 10:40:00","998.7000","1003.5000","217.0000","3.4000","37.0000","40.0000","0.0000","146.52"
"B","3","2016-07-20 10:40:00,2016-07-20 11:00:00","998.7000","1003.5000","217.0000","3.4000","37.0000","40.0000","0.0000","119.25"
"B","3","2016-07-20 11:00:00,2016-07-20 11:20:00","998.7000","1003.5000","217.0000","3.4000","37.0000","40.0000","0.0000","126.27"
"B","3","2016-07-20 11:20:00,2016-07-20 11:40:00","998.7000","1003.5000","217.0000","3.4000","37.0000","40.0000","0.0000","157.7"
